PFI,EZI_ADD,SRC_VERIF,PROPSTATUS,GCODEFEAT,LOC_DESC,BLGUNTTYP,HSAUNITID,BUNIT_PRE1,BUNIT_ID1,BUNIT_SUF1,BUNIT_PRE2,BUNIT_ID2,BUNIT_SUF2,FLOOR_TYPE,FLOOR_NO_1,FLOOR_NO_2,BUILDING,COMPLEX,HSE_PREF1,HSE_NUM1,HSE_SUF1,HSE_PREF2,HSE_NUM2,HSE_SUF2,DISP_NUM1,ROAD_NAME,ROAD_TYPE,RD_SUF,LOCALITY,STATE,POSTCODE,ACCESSTYPE,x,y
425787443,28S/151 BERKELEY STREET MELBOURNE 3000,2017-04-12,A,V,,STOR,,,28.0,S,,,,,,,,,,151.0,,,,,,BERKELEY,STREET,,MELBOURNE,VIC,3000,L,144.95810795500006,-37.80223262299995
422621863,44 PROFESSORS WALK PARKVILLE 3052,2024-12-17,A,V,PART,,,,,,,,,G,,,,,,44.0,,,,,,PROFESSORS,WALK,,PARKVILLE,VIC,3052,L,144.9601514520001,-37.79717790299998
422621977,170 GRATTAN STREET PARKVILLE 3052,2024-12-17,A,V,PART,,,,,,,,,,,,,,,170.0,,,,,,GRATTAN,STREET,,PARKVILLE,VIC,3052,L,144.9633305210001,-37.79981708199995
53267039,3/650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,UNIT,,,3.0,,,,,,,,,,,650.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
53267040,6/650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,UNIT,,,6.0,,,,,,,,,,,650.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
53267041,7/650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,UNIT,,,7.0,,,,,,,,,,,650.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
422622458,48 ROYAL PARADE PARKVILLE 3052,2024-12-17,A,V,PART,,,,,,,,,,,,,,,48.0,,,,,,ROYAL,PARADE,,PARKVILLE,VIC,3052,L,144.958426303,-37.79726417699993
53267047,26/650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,UNIT,,,26.0,,,,,,,,,,,650.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
422621983,48 ROYAL PARADE PARKVILLE 3052,2024-12-17,A,V,PART,,,,,,,,,,,,,,,48.0,,,,,,ROYAL,PARADE,,PARKVILLE,VIC,3052,L,144.958426303,-37.79726417699993
53267049,644 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,,,,,,,,,,,,,,,644.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
53267042,8/650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,UNIT,,,8.0,,,,,,,,,,,650.0,,,,,,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
425787447,30S/151 BERKELEY STREET MELBOURNE 3000,2017-04-12,A,V,,STOR,,,30.0,S,,,,,,,,,,151.0,,,,,,BERKELEY,STREET,,MELBOURNE,VIC,3000,L,144.95810795500006,-37.80223262299995
425787449,31S/151 BERKELEY STREET MELBOURNE 3000,2017-04-12,A,V,,STOR,,,31.0,S,,,,,,,,,,151.0,,,,,,BERKELEY,STREET,,MELBOURNE,VIC,3000,L,144.95810795500006,-37.80223262299995
425787453,33S/151 BERKELEY STREET MELBOURNE 3000,2017-04-12,A,V,,STOR,,,33.0,S,,,,,,,,,,151.0,,,,,,BERKELEY,STREET,,MELBOURNE,VIC,3000,L,144.95810795500006,-37.80223262299995
425787455,34S/151 BERKELEY STREET MELBOURNE 3000,2017-04-12,A,V,,STOR,,,34.0,S,,,,,,,,,,151.0,,,,,,BERKELEY,STREET,,MELBOURNE,VIC,3000,L,144.95810795500006,-37.80223262299995
53267050,650 SWANSTON STREET CARLTON 3053,2009-01-19,A,V,,,,,,,,,,,,,,,,650.0,,,,,656.0,SWANSTON,STREET,,CARLTON,VIC,3053,L,144.96409641800005,-37.80128438699995
203513957,6/201 GRATTAN STREET CARLTON 3053,2009-01-19,A,V,,CARS,,,6.0,,,,,,,,,,,201.0,,,,,,GRATTAN,STREET,,CARLTON,VIC,3053,L,144.96204314500005,-37.80039608799996
